Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,54.70000076293945,56.5,54.20000076293945,56.099998474121094,56.099998474121094,21739009
2022-07-12,55.900001525878906,59.650001525878906,55.5,59.0,59.0,57986568
2022-07-13,59.0,61.5,58.0,58.349998474121094,58.349998474121094,73383005
2022-07-14,58.400001525878906,59.0,55.29999923706055,55.650001525878906,55.650001525878906,43024089
2022-07-15,56.20000076293945,56.20000076293945,53.349998474121094,53.900001525878906,53.900001525878906,47995067
2022-07-18,54.70000076293945,55.099998474121094,52.849998474121094,53.599998474121094,53.599998474121094,47689463
2022-07-19,53.650001525878906,54.400001525878906,53.29999923706055,53.95000076293945,53.95000076293945,35427093
2022-07-20,54.5,54.5,53.20000076293945,53.400001525878906,53.400001525878906,37683099
2022-07-21,53.349998474121094,54.45000076293945,52.70000076293945,53.5,53.5,29402446
2022-07-22,53.75,54.0,52.900001525878906,53.650001525878906,53.650001525878906,27302087
2022-07-25,52.5,52.5,46.0,47.599998474121094,47.599998474121094,232841112
2022-07-26,46.599998474121094,46.650001525878906,41.20000076293945,41.650001525878906,41.650001525878906,412304737
2022-07-27,40.849998474121094,44.400001525878906,40.599998474121094,43.95000076293945,43.95000076293945,411205172
2022-07-28,44.900001525878906,46.29999923706055,43.04999923706055,45.70000076293945,45.70000076293945,267544569
2022-07-29,45.599998474121094,47.20000076293945,44.54999923706055,46.79999923706055,46.79999923706055,177187972
2022-08-01,46.79999923706055,47.25,45.04999923706055,46.29999923706055,46.29999923706055,135944043
2022-08-02,50.0,55.54999923706055,48.400001525878906,55.54999923706055,55.54999923706055,528899748
2022-08-03,52.5,56.900001525878906,51.75,55.45000076293945,55.45000076293945,599688336
2022-08-04,55.75,58.650001525878906,54.5,57.849998474121094,57.849998474121094,420183405
2022-08-05,57.900001525878906,59.150001525878906,53.25,54.599998474121094,54.599998474121094,315019033
2022-08-08,54.70000076293945,56.20000076293945,54.20000076293945,55.45000076293945,55.45000076293945,178185076
2022-08-10,56.20000076293945,56.54999923706055,54.5,55.95000076293945,55.95000076293945,200699912
2022-08-11,56.900001525878906,58.150001525878906,56.349998474121094,57.900001525878906,57.900001525878906,130942734
2022-08-12,58.099998474121094,63.099998474121094,57.900001525878906,61.75,61.75,351208957
2022-08-16,62.650001525878906,67.44999694824219,62.5,64.25,64.25,250686966
2022-08-17,64.80000305175781,65.5999984741211,61.79999923706055,65.25,65.25,258066522
2022-08-18,65.5999984741211,69.25,65.0,67.0999984741211,67.0999984741211,303566868
2022-08-19,67.4000015258789,68.25,60.150001525878906,61.45000076293945,61.45000076293945,295737752
2022-08-22,61.0,62.849998474121094,59.25,62.0,62.0,226773007
2022-08-23,62.29999923706055,65.25,62.150001525878906,64.44999694824219,64.44999694824219,218585102
2022-08-24,64.0999984741211,64.19999694824219,61.70000076293945,62.20000076293945,62.20000076293945,116401002
2022-08-25,62.79999923706055,63.20000076293945,61.650001525878906,62.099998474121094,62.099998474121094,81137105
2022-08-26,62.400001525878906,62.70000076293945,60.54999923706055,61.849998474121094,61.849998474121094,87939030
2022-08-29,59.70000076293945,60.54999923706055,58.349998474121094,59.20000076293945,59.20000076293945,98493347
2022-08-30,60.20000076293945,61.25,57.29999923706055,57.95000076293945,57.95000076293945,162054037
2022-09-01,58.70000076293945,63.150001525878906,58.25,62.45000076293945,62.45000076293945,192477817
2022-09-02,63.400001525878906,63.400001525878906,59.400001525878906,59.75,59.75,137946710
2022-09-05,60.45000076293945,60.79999923706055,59.29999923706055,59.650001525878906,59.650001525878906,84539046
2022-09-06,60.29999923706055,60.79999923706055,59.400001525878906,59.70000076293945,59.70000076293945,70186636
2022-09-07,59.650001525878906,60.400001525878906,59.20000076293945,59.5,59.5,59843737
2022-09-08,60.349998474121094,62.5,59.79999923706055,61.349998474121094,61.349998474121094,128430049
2022-09-09,62.0,63.650001525878906,62.0,62.79999923706055,62.79999923706055,139369425
2022-09-12,63.0,63.20000076293945,62.25,62.54999923706055,62.54999923706055,64044347
2022-09-13,63.0,66.5999984741211,62.79999923706055,65.44999694824219,65.44999694824219,199032705
2022-09-14,64.05000305175781,65.1500015258789,62.75,63.29999923706055,63.29999923706055,119824317
