Date,Open,High,Low,Close,Adj Close,Volume
2022-12-26,53.950001,59.750000,53.450001,58.150002,58.150002,83571451
2022-12-27,59.400002,60.599998,58.500000,58.950001,58.950001,54205000
2022-12-28,58.500000,60.799999,57.849998,60.150002,60.150002,70502428
2022-12-29,59.500000,61.549999,59.000000,60.849998,60.849998,24973807
2022-12-30,61.000000,61.450001,59.000000,59.299999,59.299999,33251260
2023-01-02,60.650002,60.700001,59.799999,60.299999,60.299999,18759536
2023-01-03,58.849998,59.549999,57.299999,58.950001,58.950001,49702768
2023-01-04,58.400002,58.700001,56.000000,56.349998,56.349998,48975781
2023-01-05,56.950001,57.099998,55.599998,56.200001,56.200001,34448671
2023-01-06,56.200001,56.400002,54.950001,55.250000,55.250000,30272416
2023-01-09,56.000000,57.250000,55.750000,56.000000,56.000000,35490334
2023-01-10,56.000000,56.150002,53.799999,54.700001,54.700001,45966335
2023-01-11,55.000000,56.150002,54.099998,54.349998,54.349998,32626665
2023-01-12,54.700001,55.000000,52.950001,53.750000,53.750000,38856261
2023-01-13,54.099998,54.500000,53.049999,53.250000,53.250000,38735350
2023-01-16,54.000000,54.299999,52.500000,52.700001,52.700001,35892303
2023-01-17,53.000000,53.099998,50.000000,50.150002,50.150002,77122987
2023-01-18,50.400002,51.450001,48.849998,51.000000,51.000000,84541855
2023-01-19,50.299999,51.900002,50.049999,51.099998,51.099998,54523340
2023-01-20,51.400002,52.250000,50.549999,51.450001,51.450001,47355757
2023-01-23,51.900002,51.900002,50.650002,51.000000,51.000000,24658884
2023-01-24,51.000000,52.299999,50.650002,52.099998,52.099998,47720352
2023-01-25,52.000000,52.049999,44.349998,47.750000,47.750000,237764175
2023-01-27,49.000000,51.799999,46.700001,46.950001,46.950001,169788452
2023-01-30,47.900002,48.549999,46.700001,47.400002,47.400002,54376637
2023-01-31,48.000000,50.700001,46.450001,49.750000,49.750000,95398497
2023-02-01,50.000000,51.049999,47.049999,48.150002,48.150002,68752685
2023-02-02,48.400002,48.900002,47.150002,47.500000,47.500000,40751688
2023-02-03,48.150002,49.250000,47.700001,48.750000,48.750000,42497841
2023-02-06,48.700001,49.099998,47.549999,47.750000,47.750000,35956956
2023-02-07,48.000000,51.000000,47.599998,49.349998,49.349998,61077398
2023-02-08,51.200001,55.299999,51.099998,54.299999,54.299999,265595807
2023-02-09,54.700001,56.799999,53.400002,54.400002,54.400002,216398621
2023-02-10,52.700001,54.150002,50.700001,53.299999,53.299999,176950201
2023-02-13,53.000000,53.700001,51.250000,51.799999,51.799999,86162276
2023-02-14,51.799999,52.500000,49.900002,50.349998,50.349998,79395202
2023-02-15,50.549999,50.900002,49.799999,50.250000,50.250000,49655881
2023-02-16,50.799999,51.799999,50.450001,51.400002,51.400002,48841966
2023-02-17,51.250000,52.200001,50.700001,51.799999,51.799999,52862406
2023-02-20,51.900002,55.049999,51.750000,54.599998,54.599998,93315254
2023-02-21,54.599998,56.150002,54.400002,55.349998,55.349998,100106053
2023-02-22,54.849998,55.400002,52.599998,52.950001,52.950001,75802021
2023-02-23,53.000000,56.000000,52.799999,54.950001,54.950001,118058937
2023-02-24,55.500000,56.750000,54.000000,54.450001,54.450001,73440699
2023-02-27,54.700001,54.750000,53.200001,53.599998,53.599998,38735556
2023-02-28,53.700001,54.400002,53.000000,53.500000,53.500000,45414869
2023-03-01,53.500000,55.349998,53.349998,54.950001,54.950001,42854827
2023-03-02,54.750000,55.200001,54.349998,54.549999,54.549999,36256148
2023-03-03,54.900002,55.400002,53.200001,53.650002,53.650002,36943821
2023-03-06,54.000000,54.950001,53.700001,53.950001,53.950001,33492583
2023-03-08,53.450001,55.299999,52.650002,54.799999,54.799999,44159725
2023-03-09,55.099998,56.349998,53.900002,54.049999,54.049999,56021946
2023-03-10,53.799999,54.500000,53.299999,53.849998,53.849998,39226931
2023-03-13,53.950001,54.700001,51.599998,51.900002,51.900002,52374659
2023-03-14,52.000000,52.500000,50.200001,50.750000,50.750000,52247904
2023-03-15,51.500000,52.200001,50.549999,50.750000,50.750000,38763143
2023-03-16,50.900002,53.700001,49.849998,53.049999,53.049999,61237058
2023-03-17,53.450001,55.750000,53.049999,54.900002,54.900002,112918857
2023-03-20,53.599998,54.750000,52.200001,53.549999,53.549999,65578919
2023-03-21,53.849998,54.150002,52.650002,53.000000,53.000000,31632951
2023-03-22,53.400002,53.900002,52.700001,53.099998,53.099998,38444991
